# id    length  x       y       z       rot_z   rot_y   rot_x   
1       0.185   0.8     0.152   0.0     0.0     -0.0    0.0
2       0.185   -0.8    0.152   0.0     0.0     -0.0    0.0
3       0.185   0.0     0.152   0.0     0.0     -0.0    0.0
4       0.185   -0.8    -0.647  0.0     0.0     -0.0    0.0
5       0.185   0.0     -0.647  0.0     0.0     -0.0    0.0
6       0.185   0.8     -0.647  0.0     0.0     -0.0    0.0
7       0.07    0.0     0.0     0.0     0.0     -0.0    0.0
8       0.03    0.0     -0.075  0.0     0.0     -0.0    0.0
10      0.015   0.0     -0.123  0.0     0.0     -0.0    0.0
37      0.03    -0.8    -0.075  0.0     0.0     -0.0    0.0
38      0.03    0.8     -0.075  0.0     0.0     -0.0    0.0
39      0.015   -0.8    -0.123  0.0     0.0     -0.0    0.0
40      0.015   0.8     -0.123  0.0     0.0     -0.0    0.0
